ASSUMPTION  UNIVERSITY,,,,,
"VINCENT MARY SCHOOL OF ENGINEERING, SCIENCE, AND TECHNOLOGY",,,,,
Bachelor of Science Program in Information Technology (BSIT),,,,,
,,,Adm. no. 651xxxx onwards,,
NAME ...........................................................................…...ADM.  NO. .....………………………..  (132 Credits),,,,,
NO.,COURSE NO.,COURSE TITLE,CREDITS,GRADE,REMARKS
GENERAL EDUCATIONAL COURSES ( 30 CREDITS ),,,,,
1,ELE1001,Communicative English I,3,,
2,ELE1002,Communicative English II,3,,
3,ELE2000,Academic English,3,,
4,ELE2001,Advanced Academic English,3,,
5,GE1403,Communication in Thai,2,,
,GE1405,Thai Language and Culture (Only for International students),,,
,GE1408,Thai Usage (For students who graduated from Inter Schools),,,
6,GE 2110,Human Civilizations and Global Citizens,2,,
7,BBA 1004,Essential Marketing for Entrepreneurs,2,,
8,BBA 1005,Essential Finance for Entrepreneurs,2,,
9,BBA 1006,Essential Economics for Entrepreneurs,2,,
10,GE 2202,Ethics,3,,
11,BBA 1007,Data Analytics for Entrepreneurs,3,,
12,GE 1303,Science for Sustainable Future,2,,
CORE COURSES ( 12 CREDITS ),,,,,
1,CSX 2006,Mathematics and Statistics for Data Science,3,,
2,ITX 2005,Design Thinking,3,,
3,ITX 3002,Introduction to Information Technology,3,,
4,ITX 3004,Information System Analysis and Design,3,,
MAJOR COURSES ( 45 CREDITS ),,,,,
1,ITX 3003,Business Systems,3,,
2,ITX 3008,IT Project Management,3,,
3,ITX 4503,Information System Security,3,,
4,ITX 2004,UI/UX Design and Prototyping,3,,
5,ITX 2007,Data Science,3,,
6,ITX 2009,Presentation and Data Visualization Techniques,3,,
7,ITX 3006,Database Management Systems,3,,
8,ITX 3009,Senior Project I,3,,
9,ITX 3010,Senior Project II,3,,
10,CSX 3001,Fundamentals of Computer Programming,3,,
11,CSX 3002,Object-Oriented Concepts and Programming,3,,
12,CSX 3003,Data Structure and Algorithms,3,,
13,ITX 3007 ,Software Engineering,3,,
14,CSX 2009,Cloud Computing,3,,
15,CSX 3005,Computer Networks,3,,
MAJOR ELECTIVE COURSES GROUP 1 ( 15 CREDITS ) ,,,,,
Students are required to choose one concentration out of 6 concentrations and study 5 subjects,,,,,
Group 1(A): Software Engineering and Development,,,,,
1,CSX 4107,Web Application Development,3,,
2,CSX 4109,Android Application Development,3,,
3,ITX 4103,Requirement Engineering,3,,
4,ITX 4104,Software Testing,3,,
5,ITX 4110,Enterprise System Integration,3,,
6,ITX 4111,Software Architectures,3,,
7,ITX 4518,Blockchain and Digital Currencies,3,,
8,ITX 4180-4199,Selected Topic [in Software Engineering],3,,
Group 1(B): Informatics and Data Science,,,,,
