,Code,Subject,Credit,Study Plan,Result,,,,,,,,,,,,
(1) General Education Courses,,,,,,,,,,,,,,,,,
(1.1) Language Courses,,,,,TR(Y/N),2/2022,3/2022,1/2023,2/2023,3/2023,1/2024,2/2024,3/2024,1/2025,2/2025,3/2025,1/2026
,ELE 1001,Communication English I,3,Y1S1,No,,,,,,,,,,,,
,ELE 1002,Communication English II,3,Y1S2,No,,,,,,,,,,,,
,ELE 2000,Academic English,3,Y2S1,No,,,,,,,,,,,,
,ELE 2001,Advanced Academic English,3,Y2S2,No,,,,,,,,,,,,
,GE 1411,"Thai Language for Multicultural Communication 
(for Non-Thai Students)",2,Y1S2,No,,,,,,,,,,,,
(1.2) Humanities Course,,,,,,,,,,,,,,,,,
,GE 2110,Human Civilizations and Global Citizens,2,Y3S1,No,,,,,,,,,,,,
(1.3) Social Science Courses,,,,,,,,,,,,,,,,,
,BBA 1004,Essential Marketing for Entrepreneurs,2,Y1S2,No,,,,,,,,,,,,
,BBA 1005,Essential Finance for Entrepreneurs,2,Y2S1,No,,,,,,,,,,,,
,BBA 1006,Essential Economics for Entrepreneurs,2,Y1S1,No,,,,,,,,,,,,
,GE 2202,Ethics,3,Y4S1,No,,,,,,,,,,,,
(1.4) Science and Mathematics Courses,,,,,,,,,,,,,,,,,
,BBA 1007,Data Analytic for Entrepreneurs,3,Y2S2,No,,,,,,,,,,,,
,GE 1303,Science for Sustainable Future,2,Y1S1,No,,,,,,,,,,,,
(2) Specialized Courses,,,,,,,,,,,,,,,,,
(2.1) Core Courses,,,,,,,,,,,,,,,,,
,CSX 2003,Principles of Statistics,3,Y1S1,No,,,,,,,,,,,,
,CSX 2006,Mathematics and Statistic for Data Science,3,Y2S1,No,,,,,,,,,,,,
,CSX 2008,Mathematics Foundation for Computer Science,3,Y1S2,No,,,,,,,,,,,,
,ITX 2005,Design Thinking,3,Y1S2,No,,,,,,,,,,,,
,ITX 2007,Data Science,3,Y2S2,No,,,,,,,,,,,,
,ITX 3007,Software Engineering,3,Y2S1,No,,,,,,,,,,,,
(2.2) Major Courses,,,,,,,,,,,,,,,,,
Organization Issues and Information Systems Group ,,,,,,,,,,,,,,,,,
,ITX 3002,Introduction to Information Technology,3,Y1S1,No,,,,,,,,,,,,
Applications Technology Group,,,,,,,,,,,,,,,,,
,CSX 3010,Senior Project I,3,Y3S2,No,,,,,,,,,,,,
,CSX 3011,Senior Project II,3,Y4S2,No,,,,,,,,,,,,
Technology and Software Methods Group,,,,,,,,,,,,,,,,,
,CSX 3001,Fundamentals of Computer Programming,3,Y1S1,No,,,,,,,,,,,,
,CSX 3002,Object-Oriented Concept and Programming,3,Y1S2,No,,,,,,,,,,,,
,CSX 3003,Data Structure and Algorithm,3,Y2S1,No,,,,,,,,,,,,
,CSX 3004,Programming Language,3,Y3S1,No,,,,,,,,,,,,
,CSX 3009,Algorithm Design,3,Y3S1,No,,,,,,,,,,,,
System Infrastructure Group,,,,,,,,,,,,,,,,,
,CSX 2009,Cloud Computing,3,Y2S2,No,,,,,,,,,,,,
,CSX 3005,Computer Network,3,Y3S1,No,,,,,,,,,,,,
,CSX 3006,Database System,3,Y2S2,No,,,,,,,,,,,,
,CSX 3008,Operating System,3,Y3S2,No,,,,,,,,,,,,
Hardware and Computer Architecture Group,,,,,,,,,,,,,,,,,
,CSX 3007,Computer Architecture,3,Y3S2,No,,,,,,,,,,,,
(2.3) Major Elective Courses,,,,,,,,,,,,,,,,,
Select Group:,,Group 1(B): Informatics and Data Science,,,,,,,,,,,,,,,
Subject in Concentration Selected (15 Credits),,,,,,,,,,,,,,,,,
1,CSX 4213,Computer Vision,3,Y2S1,No,,,,,,,,,,,,
2,CSX4202,Data Mining,3,Y2S2,No,,,,,,,,,,,,
3,CSX4203,Machine Learning,3,Y3S1,No,,,,,,,,,,,,
4,CSX4207,Decision support and Recommender Systems,3,Y3S2,No,,,,,,,,,,,,
5,,,3,Y3S2,No,,,,,,,,,,,,
Other Major Elective Courses (18 Credits),,,,,,,,,,,,,,,,,
1,ITX3004,INFORMATION SYSTEM ANALYSIS AND DEDSIGN,3,Y4S1,No,,,,,,,,,,,,
2,CSX 4107,Web Application Development,3,Y4S1,No,,,,,,,,,,,,
3,CSX4110,Backend Application Development,3,Y4S1,No,,,,,,,,,,,,
4,ITX2004,UI/UX Design and Prototype,3,Y4S1,No,,,,,,,,,,,,
5,ITX4101,Software Testing,3,Y4S2,No,,,,,,,,,,,,
6,ITX4213,Artificial Intelligence For Business,3,Y4S2,No,,,,,,,,,,,,
Free Elective (12 Credits),,,,,,,,,,,,,,,,,
1,BG1205,CALCULUS II,3,Y3S1,No,,,,,,,,,,,,
2,GE1205,ASEAN WAYS,3,Y4S1,No,,,,,,,,,,,,
3,,,3,Y4S1,No,,,,,,,,,,,,
4,,,3,Y4S2,No,,,,,,,,,,,,
Total,,,132,,,,,,,,,,,,,,
Ethics Seminar,,,,,,,,,,,,,,,,,
1,BG 14031,PROFESSIONAL ETHICS SEMINAR I,0,Y1S1,No,,,,,,,,,,,,
2,BG 14032,PROFESSIONAL ETHICS SEMINAR II,0,Y1S2,No,,,,,,,,,,,,
3,BG 14033,PROFESSIONAL ETHICS SEMINAR III,0,Y2S1,No,,,,,,,,,,,,
4,BG 14034,PROFESSIONAL ETHICS SEMINAR IV,0,Y2S2,No,,,,,,,,,,,,
5,BG 14035,PROFESSIONAL ETHICS SEMINAR V,0,Y3S1,No,,,,,,,,,,,,
6,BG 14036,PROFESSIONAL ETHICS SEMINAR VI,0,Y3S2,No,,,,,,,,,,,,
7,BG 14037,PROFESSIONAL ETHICS SEMINAR VII,0,Y4S1,No,,,,,,,,,,,,
8,BG 14038,PROFESSIONAL ETHICS SEMINAR VIII,0,Y4S2,No,,,,,,,,,,,,
